First_Name Middle_Name,Family_Name,Category,Primary Affiliation,Secondary Affiliations,Researcher ID URL,RID
Barry W,Brook,Environment/Ecology,"University of Tasmania, Australia",,http://www.researcherid.com/rid/G-2686-2011,G-2686-2011
Bart,Barlogie,Clinical Medicine,"University of Arkansas at Little Rock, USA",,,
Bart L R,De Moor,Computer Science,"KU Leuven, Belgium","iMinds, Belgium",,
Barton F,Haynes,Microbiology,"Duke University, USA",,,
Bashir,Ahmad,Mathematics,"King Abdulaziz University, Saudi Arabia",,,
Bassim H,Hameed,Engineering,"King Saud University, Saudi Arabia",,http://www.researcherid.com/rid/C-1270-2009,C-1270-2009
Beat,Keller,Plant & Animal Science,"University of Zurich, Switzerland",,,
Beatrice H,Hahn,Microbiology,"University of Pennsylvania, USA",,,
Begona,Bartolome,Agricultural Sciences,"Institute of Food Science Research (CIAL-CSIC), Spain",,http://www.researcherid.com/rid/H-4857-2012,H-4857-2012
Ben,Scheres,Plant & Animal Science,"University of Wageningen, Netherlands",,,
Ben L,Feringa,Chemistry,"University of Groningen, Netherlands",,http://www.researcherid.com/rid/C-1665-2013,C-1665-2013
Ben Zhong,Tang,Chemistry,"The Hong Kong University of Science and Technology, Hong Kong, China","Zhejiang University, China; South China University of Technology, China",,
Ben Zhong,Tang,Materials Science,"The Hong Kong University of Science and Technology, Hong Kong, China","Zhejiang University, China; South China University of Technology, China",,
Bengt O,Muthen,Mathematics,"University of California, Los Angeles, USA",,,
Benjamin,List,Chemistry,"Max Planck Inst Kohlenforsch, Germany",,,
Benjamin F,Cravatt,Biology & Biochemistry,"Scripps Res Inst, USA",,,
Benjamin F,Voight,Molecular Biology & Genetics,"University of Pennsylvania, USA",,,
Benjamin J,Wiley,Chemistry,"Duke University, USA",,,
Benjamin S,Halpern,Environment/Ecology,"Natl Ctr Ecol Anal & Synth, USA","University of California, Santa Barbara, USA",,
Benoit,Perthame,Mathematics,"Pierre and Marie Curie University - Paris 6, France",,,
Berislav V,Zlokovic,Neuroscience & Behavior,"University of Southern California, USA",,,
Bernard,Henrissat,Biology & Biochemistry,"Center National de la Recherche scientifique(CNRS), France","King Abdulaziz University, Saudi Arabia",,
Bernard,Henrissat,Plant & Animal Science,"Center National de la Recherche scientifique(CNRS), France","King Abdulaziz University, Saudi Arabia",,
Bernard,Zinman,Clinical Medicine,"University of Toronto, Canada",,,
Bernard J,Gersh,Clinical Medicine,"Mayo Medical School, USA",,,
Bernardo,Cockburn,Mathematics,"University of Minnesota, Twin Cities, USA",,,
Bernd,Marschner,Agricultural Sciences,"University of Bochum, Germany",,,
Bernd,Nilius,Biology & Biochemistry,"KU Leuven, Belgium",,,
Bernd,Nowack,Environment/Ecology,"Empa Swiss Fed Labs Mat Sci & Technol, Switzerland",,,
Bernd,Roechert,Biology & Biochemistry,"Swiss Inst Bioinformat, Switzerland","CMU, Switzerland; EBI, UK",,
Bernd,Weisshaar,Plant & Animal Science,"Bielefeld University, Germany",,http://www.researcherid.com/rid/B-3859-2014,B-3859-2014
Bernhard,Keimer,Physics,"Max Planck Institute for Solid State Research, Germany",,,
Bernhard,Keller,Mathematics,"University of Paris Diderot (Paris 7), France",,,
Bernhard O,Palsson,Biology & Biochemistry,"University of California, San Diego, USA",,,
Bert,Vogelstein,Clinical Medicine,"Johns Hopkins Kimmel Canc Ctr, USA",,,
Bertil B,Fredholm,Pharmacology & Toxicology,"Karolinska Institute, Sweden",,,
Bertrand M,Hochwald,Computer Science,"University of Notre Dame, USA",,,
Bess,Dawson-Hughes,Clinical Medicine,"Tufts University, USA",,,
Beth,Levine,Molecular Biology & Genetics,"The University of Texas Southwestern Medical Center at Dallas, USA","Howard Hughes Medical Institute, USA",,
Bette L,Otto-Bliesner,Geosciences,"Natl Ctr Atmospher Res, USA",,,
Bette T M,Korber,Microbiology,"Los Alamos Natl Lab, USA","Santa Fe Inst, USA",,
Beverly E,Law,Agricultural Sciences,"Oregon State University, USA",,,
Bharat B,Aggarwal,Clinical Medicine,"The University of Texas M. D. Anderson Cancer Center, USA",,,
Bharat B,Aggarwal,Pharmacology & Toxicology,"The University of Texas M. D. Anderson Cancer Center, USA",,,
Bharat B,Biswal,Neuroscience & Behavior,"Rutgers, The State University of New Jersey - New Brunswick, USA",,,
Bhaskar S,Kolachana,Neuroscience & Behavior,"NIMH, USA",,,
Bi-Jie,Li,Chemistry,"Peking University, China",,,
Bill,McEvily,Economics & Business,"University of Toronto, Canada",,,
Billie,Giles-Corti,"Social Sciences, general","University of Melbourne, Australia",,,
Bin,Han,Plant & Animal Science,"Chinese Academy of Sciences, China",,,
Bin,Liu,Materials Science,"National University of Singapore, Singapore","Inst Mat Res Engn, Singapore",,
Bing,Ren,Molecular Biology & Genetics,"University of California, San Diego, USA",,,
Bing,Xu,Chemistry,"Brandeis University, United States","King Abdulaziz University (Adjunct), Saudi Arabia",http://www.researcherid.com/rid/A-7828-2008,A-7828-2008
Biswanath,Mukherjee,Computer Science,"University of California, Davis, USA","King Abdulaziz University, Saudi Arabia",,
Bjoern,Usadel,Plant & Animal Science,"RWTH Aachen University, Germany","Forschungszentrum Jülich, Germany",http://www.researcherid.com/rid/E-1932-2011,E-1932-2011
Bjorn,Dahlof,Clinical Medicine,"University of Gothenburg, Sweden",,,
Blake C,Meyers,Plant & Animal Science,"University of Delaware, United States",,http://www.researcherid.com/rid/B-6535-2012,B-6535-2012
Bo,Tian,Physics,"Beijing University of Posts and Telecommunications, China",,,
Bonnie L,Bassler,Microbiology,"Howard Hughes Med Inst, USA","Princeton University, USA",,
Boris,Worm,Environment/Ecology,"Dalhousie University, Canada",,,
Boxin,Ou,Agricultural Sciences,"Dover Sci, USA",,,
Bradford A,Hawkins,Environment/Ecology,"University of California, Irvine, USA",,,
Bradley,Efron,Mathematics,"Stanford University, USA",,,
Bradley E,Bernstein,Molecular Biology & Genetics,"Broad Inst MIT & Harvard, USA","Harvard University, USA; Massachusetts Gen Hosp, USA",,
Bradley F,Boeve,Neuroscience & Behavior,"Mayo Medical School, USA",,,
Bradley J,Cardinale,Environment/Ecology,"University of Michigan - Ann Arbor, USA",,,
Bradley T,Hyman,Neuroscience & Behavior,"Harvard University, USA",,,
Brandon F,Keele,Microbiology,"NCI, USA",,,
Branko N,Popov,Engineering,"University of South Carolina - Columbia, USA",,,
Brenda W J H,Penninx,"Social Sciences, general","VU University Amsterdam, Netherlands",,,
Brendan,McCormack,"Social Sciences, general","University of Ulster, Ireland",,,
Brent N,Holben,Geosciences,"NASA, USA",,,
Brian,Walker,Environment/Ecology,"CSIRO Sustainable Ecosyst, Australia","Royal Swedish Acad Sci, Sweden; Stockholm University, Sweden",,
Brian,Yanny,Space Science,"Fermilab Natl Accelerator Lab, USA",,,
Brian A,Nosek,Psychiatry/Psychology,"University of Virginia, USA",,,
Brian C,Sales,Physics,"Oak Ridge Natl Lab, USA",,,
Brian E,Saelens,"Social Sciences, general","Childrens Hosp & Reg Med Ctr, USA","University of Washington, USA",,
Brian G,Weinshenker,Neuroscience & Behavior,"Mayo Medical School, USA",,,
Brian I,Rini,Clinical Medicine,"Cleveland Clin Fdn, USA",,,
Brian J,Druker,Clinical Medicine,"Oregon Health and Science University, USA",,,
Brian J,Haas,Microbiology,"Broad Inst, USA",,,
Brian J,Raney,Biology & Biochemistry,"University of California, Santa Cruz, USA",,,
Brian J,Reiser,"Social Sciences, general","Northwestern Univerisity, United States",,http://www.researcherid.com/rid/A-1239-2015,A-1239-2015
Brian J,Soden,Geosciences,"University of Miami, USA",,,
Brian K,Kobilka,Biology & Biochemistry,"Stanford University, USA",,,
Brian K,Kobilka,Pharmacology & Toxicology,"Stanford University, USA",,,
Bridget F,Grant,Psychiatry/Psychology,"NIAAA, USA",,,
Brigitta,Stockinger,Immunology,"Natl Inst Med Res, UK",,,
Brigitte,Boeckmann,Biology & Biochemistry,"Swiss Inst Bioinformat, Switzerland",,,
Brigitte,Mauch-Mani,Plant & Animal Science,"University of Neuchatel, Switzerland",,,
Brooke,Rhead,Biology & Biochemistry,"University of California, Santa Cruz, USA",,,
Bruce,Beutler,Immunology,"The University of Texas Southwestern Medical Center at Dallas, USA",,,
Bruce,Fischl,Neuroscience & Behavior,"Massachusetts Gen Hosp, USA","Massachusetts Institute of Technology (MIT), USA",,
Bruce,Western,"Social Sciences, general","Harvard University, USA",,,
Bruce D,Walker,Immunology,"Howard Hughes Med Inst, USA","Ragon Inst Massachusetts Gen Hosp Massachusetts I, USA; University of KwaZulu-Natal, South Africa",,
Bruce D,Walker,Microbiology,"Howard Hughes Med Inst, USA","Ragon Inst Massachusetts Gen Hosp Massachusetts I, USA; University of KwaZulu-Natal, South Africa",,
Bruce E,Johnson,Clinical Medicine,"Dana Farber Canc Inst, USA",,,
Bruce E,Landon,"Social Sciences, general","Harvard University, USA",,,
Bruce E,Logan,Engineering,"Pennsylvania State University - University Park, USA",,,
Bruce E,Logan,Environment/Ecology,"Pennsylvania State University - University Park, USA",,,
Bruce J,Avolio,Economics & Business,"University of Washington, USA",,,
Bruce L,Miller,Neuroscience & Behavior,"University of California, San Francisco, USA",,,
Bruce M,Psaty,Clinical Medicine,"University of Washington, USA",,,
Bruce M,Spiegelman,Biology & Biochemistry,"Harvard University, USA",,,
Bruce S,McEwen,Neuroscience & Behavior,"Rockefeller University, USA",,,
Bruce W,Birren,Molecular Biology & Genetics,"Broad Inst Massachusetts Inst Technol & Harvard, USA",,,
Bruno,Scrosati,Materials Science,"Italian Institute of Technology, Italy","Helmholtz Institute Ulm (HIU), Germany",,
Bruno,Vellas,Agricultural Sciences,"Toulouse Univ Hosp, France",,,
Bryan R,Cullen,Microbiology,"Duke University, USA","King Abdulaziz University, Saudi Arabia",,
C David,Allis,Molecular Biology & Genetics,"Rockefeller University, USA",,,
C Kent,Osborne,Clinical Medicine,"Baylor College of Medicine, USA",,,
C Michael,Gibson,Clinical Medicine,"Brigham & Womens Hosp, USA",,,
C N R,Rao,Chemistry,"Jawaharlal Nehru Ctr Adv Sci Res, India",,,
C N R,Rao,Materials Science,"Jawaharlal Nehru Ctr Adv Sci Res, India",,,
C Robin,Buell,Plant & Animal Science,"Michigan State University, USA",,,
C Y,Lee,Agricultural Sciences,"Cornell University, USA","King Abdulaziz University, Saudi Arabia",,
Caetano,Reis E Sousa,Immunology,"Canc Res UK, UK",,,
Cameron S,Carter,Psychiatry/Psychology,"University of California, Davis, USA",,,
Campbell R,Harvey,Economics & Business,"Duke University, USA",,,
Can,Alkan,Molecular Biology & Genetics,"Bilkent University, Turkey",,http://www.researcherid.com/rid/D-2982-2009,D-2982-2009
Candace,Guiducci,Molecular Biology & Genetics,"Broad Inst Massachusetts Inst Technol & Harvard, USA",,,
Carel P,Van Schaik,"Social Sciences, general","University of Zurich, Switzerland",,,
Carl,Folke,Environment/Ecology,"Royal Swedish Acad Sci, Sweden","Stockholm University, Sweden",,
Carlo Maria,Croce,Biology & Biochemistry,"The Ohio State University - Columbus, USA",,,
Carlo Maria,Croce,Clinical Medicine,"The Ohio State University - Columbus, USA",,,
Carlos,Bustamante,Biology & Biochemistry,"University of California, Berkeley, USA",,,
Carlos F,Barbas,Chemistry,"Scripps Res Inst, USA",,,
Carlos M,Duarte,Environment/Ecology,"University of Western Australia, Australia","(2) Consejo Superior de Investigaciones Cientificas, CSIC /  (3) King Abdulaziz University, Spain",http://www.researcherid.com/rid/A-7670-2013,A-7670-2013
Carlos S,Frenk,Space Science,"University of Durham, UK",,,
Carmen,Gomez-Cordoves,Agricultural Sciences,"CSIC, Spain",,,
Carmen M,Reinhart,Economics & Business,"Harvard University, USA",,,
Carol,Churcher,Microbiology,"Wellcome Trust Sanger Inst, UK",,,
Carole A,Estabrooks,"Social Sciences, general","University of Alberta, Canada",,,
Caroline,Dean,Plant & Animal Science,"John Innes Ctr Plant Sci Res, UK",,,
Caroline S,Fox,Clinical Medicine,"Harvard University, USA","NHLBI, USA",,
Carolyn R,Bertozzi,Chemistry,"University of California, Berkeley, USA",,,
Carrie N,Klabunde,"Social Sciences, general","NCI, USA",,,
Carsten,Bolm,Chemistry,"RWTH Aachen University, Germany",,,
Casey J,Papovich,Space Science,"Texas A&M University - College Station, USA",,,
Casey T,Weaver,Immunology,"The University of Alabama at Birmingham, USA",,,
Catherine,Feuillet,Plant & Animal Science,"University of Auvergne, France","INRA, France",,
Catherine A,Lozupone,Microbiology,"University of Colorado at Denver, USA",,,
Catherine H,Graham,Environment/Ecology,"State University of New York at Stony Brook, USA",,,
Catherine J,Murphy,Chemistry,"University of Illinois at Urbana-Champaign, USA",,,
Catherine J,Murphy,Materials Science,"University of Illinois at Urbana-Champaign, USA",,,
Cathy,Schoen,"Social Sciences, general","Commonwealth Fund, USA",,,
Cathy A,Cowan,"Social Sciences, general","CMS, USA",,,
Cathy H,Wu,Biology & Biochemistry,"University of Delaware, USA","Georgetown University, USA",,
Cathy H,Wu,Computer Science,"University of Delaware, USA","Georgetown University, USA",,
Cecilia M,Bitz,Geosciences,"University of Washington, USA",,,
Cecilia M,Lindgren,Molecular Biology & Genetics,"University of Oxford, UK",,,
Chad,Nusbaum,Molecular Biology & Genetics,"Harvard University, USA","Massachusetts Institute of Technology (MIT), USA",,
Chad A,Mirkin,Chemistry,"Northwestern University, USA",,,
Chang-Gong,Liu,Clinical Medicine,"China Medical University, Taiwan, Taiwan","The University of Texas - MD Anderson Cancer Center, United States",http://www.researcherid.com/rid/O-6585-2014,O-6585-2014
Changhong,Wang,Engineering,"Harbin Institute of Technology, China","University of Glamorgan, UK",,
Chao-Jun,Li,Chemistry,"McGill University, Canada",,,
Chao-Yang,Wang,Engineering,"The Pennsylvania State University, United States",,http://www.researcherid.com/rid/C-4122-2009,C-4122-2009
Charles,Lee,Molecular Biology & Genetics,"Harvard University, USA",,,
Charles C,Steidel,Space Science,"California Institute of Technology, USA",,,
Charles G,Glabe,Biology & Biochemistry,"University of California, Irvine, USA","King Abdulaziz University, Saudi Arabia",,
Charles H,Goldsmith,"Social Sciences, general","McMaster University, Canada",,,
Charles K,Westbrook,Engineering,"Lawrence Livermore Natl Lab, USA",,,
Charles L,Bennett,Space Science,"The Johns Hopkins University, USA",,,
Charles L,Bowden,Psychiatry/Psychology,"The University of Texas Health Science Center at San Antonio, USA",,,
Charles L,Sawyers,Clinical Medicine,"Mem Sloan Kettering Canc Ctr, USA",,,
Charles M,Lieber,Chemistry,"Harvard University, USA",,,
Charles M,Lieber,Materials Science,"Harvard University, USA",,,
Charles M,Perou,Clinical Medicine,"University of North Carolina at Chapel Hill, UNC-CH, United States",,http://www.researcherid.com/rid/H-9934-2014,H-9934-2014
Charles M,Rice,Microbiology,"Rockefeller University, USA",,,
Charles S,Fuchs,Clinical Medicine,"Brigham & Womens Hosp, USA","Dana Farber Canc Inst, USA",,
Chein-Shan,Liu,Computer Science,"National Taiwan Univeristy, Taiwan",,http://www.researcherid.com/rid/E-9060-2013,E-9060-2013
Chen,Dong,Immunology,"Tsinghua University (THU) ????, China",,http://www.researcherid.com/rid/B-3181-2009,B-3181-2009
Cheng,Chin,Physics,"University of Chicago, USA",,,
Cheng-Wu,Chen,Engineering,"National Cheng Kung University, Taiwan","King Abdulaziz University, Saudi Arabia; National Kaohsiung Marine University, Taiwan",,
Chester A,Mathis,Neuroscience & Behavior,"University of Pittsburgh, USA",,,
Chia-Lin,Wei,Molecular Biology & Genetics,"Joint Genome Inst, USA",,,
Chi-Tang,Ho,Agricultural Sciences,"Rutgers, The State University of New Jersey - New Brunswick, USA",,,
Chiu-Yue,Lin,Engineering,"Feng Chia University, Taiwan",,,
Chris,Sander,Biology & Biochemistry,"Mem Sloan Kettering Canc Ctr, USA",,,
Chris,Stoughton,Space Science,"Fermilab Ctr Particle Astrophys, USA",,,
Chris,Stringer,"Social Sciences, general","Nat Hist Museum London, UK",,,
Chris D,Thomas,Environment/Ecology,"University of York, UK",,,
Chris G,Van De Walle,Physics,"University of California, Santa Barbara, UCSB, United States",,http://www.researcherid.com/rid/A-6623-2012,A-6623-2012
Chris P,Ponting,Molecular Biology & Genetics,"University of Oxford, UK",,,
Chris R,Somerville,Plant & Animal Science,"University of California, Berkeley, USA","King Abdulaziz University, Saudi Arabia",,
Christa S,McArdell,Environment/Ecology,"Swiss Fed Inst Aquat Sci & Technol, Switzerland",,,
Christian,Bernhofer,Agricultural Sciences,"Dresden University of Technology, Germany",,,
Christian,Brander,Microbiology,"Hosp Badalona Germans Trias & Pujol, Spain","Inst Catalana Recerca & Estudis Avancats ICREA, Spain",,
Christian,Gieger,Molecular Biology & Genetics,"German Res Ctr Environm Hlth, Germany",,,
Christian,Leuz,Economics & Business,"University of Chicago, United States",,http://www.researcherid.com/rid/E-5055-2011,E-5055-2011
Christian,Remesy,Agricultural Sciences,"INRA, France",,,
Christian,Serre,Chemistry,"University of Versailles, France",,,
